
Inicio: 1666478004030  Final: 1666478004076  Diferencia: 46
Inicio: 1666478004170  Final: 1666478004172  Diferencia: 2
Inicio: 1666478004172  Final: 1666478004174  Diferencia: 2
Inicio: 1666478004174  Final: 1666478004176  Diferencia: 2
Inicio: 1666478004176  Final: 1666478004178  Diferencia: 2
Inicio: 1666478004178  Final: 1666478004180  Diferencia: 2
Inicio: 1666478004180  Final: 1666478004182  Diferencia: 2
Inicio: 1666478004182  Final: 1666478004184  Diferencia: 2
Inicio: 1666478004184  Final: 1666478004186  Diferencia: 2
Inicio: 1666478004186  Final: 1666478004188  Diferencia: 2
Inicio: 1666478004188  Final: 1666478004190  Diferencia: 2
Inicio: 1666478004190  Final: 1666478004192  Diferencia: 2
Inicio: 1666478004192  Final: 1666478004194  Diferencia: 2
Inicio: 1666478004194  Final: 1666478004196  Diferencia: 2
Inicio: 1666478004196  Final: 1666478004199  Diferencia: 3
Inicio: 1666478004199  Final: 1666478004201  Diferencia: 2
Inicio: 1666478004201  Final: 1666478004203  Diferencia: 2
Inicio: 1666478004203  Final: 1666478004205  Diferencia: 2
Inicio: 1666478004205  Final: 1666478004207  Diferencia: 2
Inicio: 1666478004207  Final: 1666478004209  Diferencia: 2
Inicio: 1666478004209  Final: 1666478004212  Diferencia: 3
Inicio: 1666478004212  Final: 1666478004214  Diferencia: 2
Inicio: 1666478004214  Final: 1666478004216  Diferencia: 2
Inicio: 1666478004216  Final: 1666478004219  Diferencia: 3
Inicio: 1666478004219  Final: 1666478004221  Diferencia: 2
Inicio: 1666478004221  Final: 1666478004224  Diferencia: 3
Inicio: 1666478004224  Final: 1666478004226  Diferencia: 2
Inicio: 1666478004226  Final: 1666478004229  Diferencia: 3
Inicio: 1666478004229  Final: 1666478004231  Diferencia: 2
Inicio: 1666478004231  Final: 1666478004234  Diferencia: 3
Inicio: 1666478004234  Final: 1666478004236  Diferencia: 2
Inicio: 1666478004236  Final: 1666478004239  Diferencia: 3
Inicio: 1666478004239  Final: 1666478004242  Diferencia: 3
Inicio: 1666478004242  Final: 1666478004244  Diferencia: 2
Inicio: 1666478004244  Final: 1666478004247  Diferencia: 3
Inicio: 1666478004247  Final: 1666478004250  Diferencia: 3
Inicio: 1666478004250  Final: 1666478004253  Diferencia: 3
Inicio: 1666478004253  Final: 1666478004256  Diferencia: 3
Inicio: 1666478004256  Final: 1666478004258  Diferencia: 2
Inicio: 1666478004258  Final: 1666478004261  Diferencia: 3
Inicio: 1666478004261  Final: 1666478004264  Diferencia: 3
Inicio: 1666478004264  Final: 1666478004267  Diferencia: 3
Inicio: 1666478004267  Final: 1666478004270  Diferencia: 3
Inicio: 1666478004270  Final: 1666478004273  Diferencia: 3
Inicio: 1666478004273  Final: 1666478004276  Diferencia: 3
Inicio: 1666478004276  Final: 1666478004280  Diferencia: 4
Inicio: 1666478004280  Final: 1666478004283  Diferencia: 3
Inicio: 1666478004283  Final: 1666478004286  Diferencia: 3
Inicio: 1666478004286  Final: 1666478004289  Diferencia: 3
Inicio: 1666478004289  Final: 1666478004292  Diferencia: 3
Inicio: 1666478004292  Final: 1666478004295  Diferencia: 3
Inicio: 1666478004295  Final: 1666478004299  Diferencia: 4
Inicio: 1666478004299  Final: 1666478004302  Diferencia: 3
Inicio: 1666478004302  Final: 1666478004305  Diferencia: 3
Inicio: 1666478004305  Final: 1666478004309  Diferencia: 4
Inicio: 1666478004309  Final: 1666478004312  Diferencia: 3
Inicio: 1666478004312  Final: 1666478004316  Diferencia: 4
Inicio: 1666478004316  Final: 1666478004319  Diferencia: 3
Inicio: 1666478004319  Final: 1666478004323  Diferencia: 4
Inicio: 1666478004323  Final: 1666478004326  Diferencia: 3
Inicio: 1666478004326  Final: 1666478004329  Diferencia: 3
Inicio: 1666478004329  Final: 1666478004333  Diferencia: 4
Inicio: 1666478004333  Final: 1666478004337  Diferencia: 4
Inicio: 1666478004337  Final: 1666478004340  Diferencia: 3
Inicio: 1666478004340  Final: 1666478004344  Diferencia: 4
Inicio: 1666478004344  Final: 1666478004348  Diferencia: 4
Inicio: 1666478004348  Final: 1666478004352  Diferencia: 4
Inicio: 1666478004352  Final: 1666478004355  Diferencia: 3
Inicio: 1666478004355  Final: 1666478004359  Diferencia: 4
Inicio: 1666478004359  Final: 1666478004363  Diferencia: 4
Inicio: 1666478004363  Final: 1666478004366  Diferencia: 3
Inicio: 1666478004366  Final: 1666478004370  Diferencia: 4
Inicio: 1666478004370  Final: 1666478004375  Diferencia: 5
Inicio: 1666478004375  Final: 1666478004379  Diferencia: 4
Inicio: 1666478004379  Final: 1666478004382  Diferencia: 3
Inicio: 1666478004382  Final: 1666478004387  Diferencia: 5
Inicio: 1666478004387  Final: 1666478004391  Diferencia: 4
Inicio: 1666478004391  Final: 1666478004395  Diferencia: 4
Inicio: 1666478004395  Final: 1666478004399  Diferencia: 4
Inicio: 1666478004399  Final: 1666478004403  Diferencia: 4
Inicio: 1666478004403  Final: 1666478004407  Diferencia: 4
Inicio: 1666478004407  Final: 1666478004411  Diferencia: 4
Inicio: 1666478004411  Final: 1666478004415  Diferencia: 4
Inicio: 1666478004415  Final: 1666478004420  Diferencia: 5
Inicio: 1666478004420  Final: 1666478004424  Diferencia: 4
Inicio: 1666478004424  Final: 1666478004429  Diferencia: 5
Inicio: 1666478004429  Final: 1666478004434  Diferencia: 5
Inicio: 1666478004434  Final: 1666478004438  Diferencia: 4
Inicio: 1666478004438  Final: 1666478004443  Diferencia: 5
Inicio: 1666478004443  Final: 1666478004447  Diferencia: 4
Inicio: 1666478004447  Final: 1666478004452  Diferencia: 5
Inicio: 1666478004452  Final: 1666478004456  Diferencia: 4
Inicio: 1666478004456  Final: 1666478004461  Diferencia: 5
Inicio: 1666478004461  Final: 1666478004467  Diferencia: 6
Inicio: 1666478004467  Final: 1666478004472  Diferencia: 5
Inicio: 1666478004472  Final: 1666478004477  Diferencia: 5
Inicio: 1666478004477  Final: 1666478004482  Diferencia: 5
Inicio: 1666478004482  Final: 1666478004486  Diferencia: 4
Inicio: 1666478004486  Final: 1666478004491  Diferencia: 5
Inicio: 1666478004491  Final: 1666478004496  Diferencia: 5
Inicio: 1666478004496  Final: 1666478004501  Diferencia: 5
Inicio: 1666478004501  Final: 1666478004506  Diferencia: 5
Inicio: 1666478004506  Final: 1666478004511  Diferencia: 5
Inicio: 1666478004511  Final: 1666478004517  Diferencia: 6
Inicio: 1666478004517  Final: 1666478004522  Diferencia: 5
Inicio: 1666478004522  Final: 1666478004527  Diferencia: 5
Inicio: 1666478004527  Final: 1666478004532  Diferencia: 5
Inicio: 1666478004532  Final: 1666478004537  Diferencia: 5
Inicio: 1666478004537  Final: 1666478004543  Diferencia: 6
Inicio: 1666478004543  Final: 1666478004548  Diferencia: 5
Inicio: 1666478004548  Final: 1666478004553  Diferencia: 5
Inicio: 1666478004553  Final: 1666478004558  Diferencia: 5
Inicio: 1666478004558  Final: 1666478004564  Diferencia: 6
Inicio: 1666478004564  Final: 1666478004570  Diferencia: 6
Inicio: 1666478004570  Final: 1666478004575  Diferencia: 5
Inicio: 1666478004575  Final: 1666478004581  Diferencia: 6
Inicio: 1666478004581  Final: 1666478004587  Diferencia: 6
Inicio: 1666478004587  Final: 1666478004593  Diferencia: 6
Inicio: 1666478004593  Final: 1666478004598  Diferencia: 5
Inicio: 1666478004598  Final: 1666478004604  Diferencia: 6
Inicio: 1666478004604  Final: 1666478004610  Diferencia: 6
Inicio: 1666478004610  Final: 1666478004616  Diferencia: 6
Inicio: 1666478004616  Final: 1666478004623  Diferencia: 7
Inicio: 1666478004623  Final: 1666478004630  Diferencia: 7
Inicio: 1666478004630  Final: 1666478004638  Diferencia: 8
Inicio: 1666478004638  Final: 1666478004644  Diferencia: 6
Inicio: 1666478004644  Final: 1666478004651  Diferencia: 7
Inicio: 1666478004651  Final: 1666478004657  Diferencia: 6
Inicio: 1666478004657  Final: 1666478004664  Diferencia: 7
Inicio: 1666478004664  Final: 1666478004670  Diferencia: 6
Inicio: 1666478004670  Final: 1666478004676  Diferencia: 6
Inicio: 1666478004676  Final: 1666478004683  Diferencia: 7
Inicio: 1666478004683  Final: 1666478004690  Diferencia: 7
Inicio: 1666478004690  Final: 1666478004697  Diferencia: 7
Inicio: 1666478004697  Final: 1666478004703  Diferencia: 6
Inicio: 1666478004703  Final: 1666478004710  Diferencia: 7
Inicio: 1666478004710  Final: 1666478004718  Diferencia: 8
Inicio: 1666478004718  Final: 1666478004724  Diferencia: 6
Inicio: 1666478004724  Final: 1666478004731  Diferencia: 7
Inicio: 1666478004731  Final: 1666478004738  Diferencia: 7
Inicio: 1666478004738  Final: 1666478004745  Diferencia: 7
Inicio: 1666478004745  Final: 1666478004752  Diferencia: 7
Inicio: 1666478004752  Final: 1666478004759  Diferencia: 7
Inicio: 1666478004759  Final: 1666478004767  Diferencia: 8
Inicio: 1666478004767  Final: 1666478004774  Diferencia: 7
Inicio: 1666478004774  Final: 1666478004781  Diferencia: 7
Inicio: 1666478004781  Final: 1666478004788  Diferencia: 7
Inicio: 1666478004788  Final: 1666478004795  Diferencia: 7
Inicio: 1666478004795  Final: 1666478004802  Diferencia: 7
Inicio: 1666478004802  Final: 1666478004810  Diferencia: 8
Inicio: 1666478004810  Final: 1666478004818  Diferencia: 8
Inicio: 1666478004818  Final: 1666478004825  Diferencia: 7
Inicio: 1666478004825  Final: 1666478004833  Diferencia: 8
Inicio: 1666478004833  Final: 1666478004841  Diferencia: 8
Inicio: 1666478004841  Final: 1666478004849  Diferencia: 8
Inicio: 1666478004849  Final: 1666478004857  Diferencia: 8
Inicio: 1666478004857  Final: 1666478004865  Diferencia: 8
Inicio: 1666478004865  Final: 1666478004873  Diferencia: 8
Inicio: 1666478004873  Final: 1666478004880  Diferencia: 7
Inicio: 1666478004880  Final: 1666478004888  Diferencia: 8
Inicio: 1666478004888  Final: 1666478004896  Diferencia: 8
Inicio: 1666478004896  Final: 1666478004904  Diferencia: 8
Inicio: 1666478004904  Final: 1666478004912  Diferencia: 8
Inicio: 1666478004912  Final: 1666478004921  Diferencia: 9
Inicio: 1666478004921  Final: 1666478004929  Diferencia: 8
Inicio: 1666478004929  Final: 1666478004938  Diferencia: 9
Inicio: 1666478004938  Final: 1666478004946  Diferencia: 8
Inicio: 1666478004946  Final: 1666478004955  Diferencia: 9
Inicio: 1666478004955  Final: 1666478004963  Diferencia: 8
Inicio: 1666478004963  Final: 1666478004971  Diferencia: 8
Inicio: 1666478004971  Final: 1666478004980  Diferencia: 9
Inicio: 1666478004980  Final: 1666478004989  Diferencia: 9
Inicio: 1666478004989  Final: 1666478004997  Diferencia: 8
Inicio: 1666478004997  Final: 1666478005007  Diferencia: 10
Inicio: 1666478005007  Final: 1666478005016  Diferencia: 9
Inicio: 1666478005016  Final: 1666478005025  Diferencia: 9
Inicio: 1666478005025  Final: 1666478005034  Diferencia: 9
Inicio: 1666478005034  Final: 1666478005043  Diferencia: 9
Inicio: 1666478005043  Final: 1666478005052  Diferencia: 9
Inicio: 1666478005052  Final: 1666478005061  Diferencia: 9
Inicio: 1666478005061  Final: 1666478005070  Diferencia: 9
Inicio: 1666478005070  Final: 1666478005079  Diferencia: 9
Inicio: 1666478005079  Final: 1666478005088  Diferencia: 9
Inicio: 1666478005089  Final: 1666478005098  Diferencia: 9
Inicio: 1666478005098  Final: 1666478005108  Diferencia: 10
Inicio: 1666478005108  Final: 1666478005120  Diferencia: 12
Inicio: 1666478005120  Final: 1666478005131  Diferencia: 11
Inicio: 1666478005131  Final: 1666478005140  Diferencia: 9
Inicio: 1666478005140  Final: 1666478005150  Diferencia: 10
Inicio: 1666478005150  Final: 1666478005159  Diferencia: 9
Inicio: 1666478005159  Final: 1666478005169  Diferencia: 10
Inicio: 1666478005169  Final: 1666478005179  Diferencia: 10
Inicio: 1666478005179  Final: 1666478005189  Diferencia: 10
Inicio: 1666478005189  Final: 1666478005199  Diferencia: 10
Inicio: 1666478005199  Final: 1666478005209  Diferencia: 10
Inicio: 1666478005209  Final: 1666478005219  Diferencia: 10
Inicio: 1666478005220  Final: 1666478005229  Diferencia: 9
Inicio: 1666478005229  Final: 1666478005241  Diferencia: 12
Inicio: 1666478005241  Final: 1666478005251  Diferencia: 10
Inicio: 1666478005251  Final: 1666478005261  Diferencia: 10
Inicio: 1666478005261  Final: 1666478005271  Diferencia: 10
Inicio: 1666478005271  Final: 1666478005281  Diferencia: 10
Inicio: 1666478005281  Final: 1666478005292  Diferencia: 11
Inicio: 1666478005292  Final: 1666478005302  Diferencia: 10
Inicio: 1666478005302  Final: 1666478005313  Diferencia: 11
Inicio: 1666478005313  Final: 1666478005324  Diferencia: 11
Inicio: 1666478005324  Final: 1666478005335  Diferencia: 11
Inicio: 1666478005335  Final: 1666478005346  Diferencia: 11
Inicio: 1666478005346  Final: 1666478005356  Diferencia: 10
Inicio: 1666478005357  Final: 1666478005367  Diferencia: 10
Inicio: 1666478005367  Final: 1666478005378  Diferencia: 11
Inicio: 1666478005378  Final: 1666478005389  Diferencia: 11
Inicio: 1666478005389  Final: 1666478005400  Diferencia: 11
Inicio: 1666478005400  Final: 1666478005412  Diferencia: 12
Inicio: 1666478005412  Final: 1666478005424  Diferencia: 12
Inicio: 1666478005424  Final: 1666478005435  Diferencia: 11
Inicio: 1666478005435  Final: 1666478005447  Diferencia: 12
Inicio: 1666478005447  Final: 1666478005458  Diferencia: 11
Inicio: 1666478005458  Final: 1666478005470  Diferencia: 12
Inicio: 1666478005470  Final: 1666478005482  Diferencia: 12
Inicio: 1666478005482  Final: 1666478005493  Diferencia: 11
Inicio: 1666478005493  Final: 1666478005505  Diferencia: 12
Inicio: 1666478005505  Final: 1666478005517  Diferencia: 12
Inicio: 1666478005517  Final: 1666478005529  Diferencia: 12
Inicio: 1666478005529  Final: 1666478005542  Diferencia: 13
Inicio: 1666478005542  Final: 1666478005555  Diferencia: 13
Inicio: 1666478005555  Final: 1666478005567  Diferencia: 12
Inicio: 1666478005567  Final: 1666478005579  Diferencia: 12
Inicio: 1666478005579  Final: 1666478005591  Diferencia: 12
Inicio: 1666478005591  Final: 1666478005603  Diferencia: 12
Inicio: 1666478005603  Final: 1666478005616  Diferencia: 13
Inicio: 1666478005616  Final: 1666478005629  Diferencia: 13
Inicio: 1666478005629  Final: 1666478005642  Diferencia: 13
Inicio: 1666478005642  Final: 1666478005656  Diferencia: 14
Inicio: 1666478005656  Final: 1666478005669  Diferencia: 13
Inicio: 1666478005669  Final: 1666478005682  Diferencia: 13
Inicio: 1666478005682  Final: 1666478005695  Diferencia: 13
Inicio: 1666478005695  Final: 1666478005708  Diferencia: 13
Inicio: 1666478005708  Final: 1666478005721  Diferencia: 13
Inicio: 1666478005721  Final: 1666478005734  Diferencia: 13
Inicio: 1666478005734  Final: 1666478005748  Diferencia: 14
Inicio: 1666478005748  Final: 1666478005761  Diferencia: 13
Inicio: 1666478005761  Final: 1666478005775  Diferencia: 14
Inicio: 1666478005775  Final: 1666478005788  Diferencia: 13
Inicio: 1666478005788  Final: 1666478005802  Diferencia: 14
Inicio: 1666478005802  Final: 1666478005816  Diferencia: 14
Inicio: 1666478005816  Final: 1666478005830  Diferencia: 14
Inicio: 1666478005830  Final: 1666478005846  Diferencia: 16
Inicio: 1666478005846  Final: 1666478005859  Diferencia: 13
Inicio: 1666478005859  Final: 1666478005873  Diferencia: 14
Inicio: 1666478005873  Final: 1666478005886  Diferencia: 13
Inicio: 1666478005886  Final: 1666478005900  Diferencia: 14
Inicio: 1666478005900  Final: 1666478005915  Diferencia: 15
Inicio: 1666478005915  Final: 1666478005929  Diferencia: 14
Inicio: 1666478005929  Final: 1666478005944  Diferencia: 15
Inicio: 1666478005944  Final: 1666478005959  Diferencia: 15
Inicio: 1666478005959  Final: 1666478005974  Diferencia: 15
Inicio: 1666478005974  Final: 1666478005988  Diferencia: 14
Inicio: 1666478005988  Final: 1666478006003  Diferencia: 15
Inicio: 1666478006003  Final: 1666478006017  Diferencia: 14
Inicio: 1666478006017  Final: 1666478006031  Diferencia: 14
Inicio: 1666478006031  Final: 1666478006053  Diferencia: 22
Inicio: 1666478006053  Final: 1666478006069  Diferencia: 16
Inicio: 1666478006069  Final: 1666478006085  Diferencia: 16
Inicio: 1666478006085  Final: 1666478006100  Diferencia: 15
Inicio: 1666478006100  Final: 1666478006115  Diferencia: 15
Inicio: 1666478006115  Final: 1666478006138  Diferencia: 23
Inicio: 1666478006138  Final: 1666478006154  Diferencia: 16
Inicio: 1666478006154  Final: 1666478006169  Diferencia: 15
Inicio: 1666478006169  Final: 1666478006184  Diferencia: 15
Inicio: 1666478006185  Final: 1666478006200  Diferencia: 15
Inicio: 1666478006200  Final: 1666478006215  Diferencia: 15
Inicio: 1666478006215  Final: 1666478006231  Diferencia: 16
Inicio: 1666478006231  Final: 1666478006248  Diferencia: 17
Inicio: 1666478006248  Final: 1666478006264  Diferencia: 16
Inicio: 1666478006264  Final: 1666478006280  Diferencia: 16
Inicio: 1666478006280  Final: 1666478006296  Diferencia: 16
Inicio: 1666478006296  Final: 1666478006312  Diferencia: 16
Inicio: 1666478006312  Final: 1666478006328  Diferencia: 16
Inicio: 1666478006328  Final: 1666478006344  Diferencia: 16
Inicio: 1666478006344  Final: 1666478006360  Diferencia: 16
Inicio: 1666478006360  Final: 1666478006376  Diferencia: 16
Inicio: 1666478006376  Final: 1666478006393  Diferencia: 17
Inicio: 1666478006393  Final: 1666478006411  Diferencia: 18
Inicio: 1666478006411  Final: 1666478006427  Diferencia: 16
Inicio: 1666478006427  Final: 1666478006445  Diferencia: 18
Inicio: 1666478006445  Final: 1666478006462  Diferencia: 17
Inicio: 1666478006462  Final: 1666478006478  Diferencia: 16
Inicio: 1666478006478  Final: 1666478006496  Diferencia: 18
Inicio: 1666478006496  Final: 1666478006513  Diferencia: 17
Inicio: 1666478006513  Final: 1666478006530  Diferencia: 17
Inicio: 1666478006530  Final: 1666478006548  Diferencia: 18
Inicio: 1666478006548  Final: 1666478006566  Diferencia: 18
Inicio: 1666478006566  Final: 1666478006584  Diferencia: 18
Inicio: 1666478006584  Final: 1666478006602  Diferencia: 18
Inicio: 1666478006602  Final: 1666478006621  Diferencia: 19
Inicio: 1666478006621  Final: 1666478006639  Diferencia: 18
Inicio: 1666478006639  Final: 1666478006658  Diferencia: 19
Inicio: 1666478006658  Final: 1666478006676  Diferencia: 18
Inicio: 1666478006676  Final: 1666478006695  Diferencia: 19
Inicio: 1666478006695  Final: 1666478006713  Diferencia: 18
Inicio: 1666478006713  Final: 1666478006731  Diferencia: 18
Inicio: 1666478006731  Final: 1666478006749  Diferencia: 18
Inicio: 1666478006749  Final: 1666478006767  Diferencia: 18
Inicio: 1666478006767  Final: 1666478006786  Diferencia: 19
Inicio: 1666478006786  Final: 1666478006805  Diferencia: 19
Inicio: 1666478006805  Final: 1666478006826  Diferencia: 21
Inicio: 1666478006826  Final: 1666478006845  Diferencia: 19
Inicio: 1666478006845  Final: 1666478006865  Diferencia: 20
Inicio: 1666478006865  Final: 1666478006885  Diferencia: 20
Inicio: 1666478006885  Final: 1666478006904  Diferencia: 19
Inicio: 1666478006904  Final: 1666478006923  Diferencia: 19
Inicio: 1666478006923  Final: 1666478006943  Diferencia: 20
Inicio: 1666478006943  Final: 1666478006963  Diferencia: 20
Inicio: 1666478006963  Final: 1666478006983  Diferencia: 20
Inicio: 1666478006983  Final: 1666478007002  Diferencia: 19
Inicio: 1666478007002  Final: 1666478007023  Diferencia: 21
Inicio: 1666478007023  Final: 1666478007044  Diferencia: 21
Inicio: 1666478007044  Final: 1666478007063  Diferencia: 19
Inicio: 1666478007063  Final: 1666478007084  Diferencia: 21
Inicio: 1666478007084  Final: 1666478007104  Diferencia: 20
Inicio: 1666478007104  Final: 1666478007128  Diferencia: 24
Inicio: 1666478007128  Final: 1666478007150  Diferencia: 22
Inicio: 1666478007150  Final: 1666478007171  Diferencia: 21
Inicio: 1666478007171  Final: 1666478007191  Diferencia: 20
Inicio: 1666478007191  Final: 1666478007212  Diferencia: 21
Inicio: 1666478007212  Final: 1666478007233  Diferencia: 21
Inicio: 1666478007233  Final: 1666478007254  Diferencia: 21
Inicio: 1666478007254  Final: 1666478007274  Diferencia: 20
Inicio: 1666478007274  Final: 1666478007295  Diferencia: 21
Inicio: 1666478007295  Final: 1666478007316  Diferencia: 21
Inicio: 1666478007316  Final: 1666478007337  Diferencia: 21
Inicio: 1666478007337  Final: 1666478007359  Diferencia: 22
Inicio: 1666478007359  Final: 1666478007380  Diferencia: 21
Inicio: 1666478007380  Final: 1666478007403  Diferencia: 23
Inicio: 1666478007403  Final: 1666478007426  Diferencia: 23
Inicio: 1666478007426  Final: 1666478007449  Diferencia: 23
Inicio: 1666478007449  Final: 1666478007471  Diferencia: 22
Inicio: 1666478007471  Final: 1666478007493  Diferencia: 22
Inicio: 1666478007493  Final: 1666478007515  Diferencia: 22
Inicio: 1666478007515  Final: 1666478007537  Diferencia: 22
Inicio: 1666478007537  Final: 1666478007559  Diferencia: 22
Inicio: 1666478007559  Final: 1666478007582  Diferencia: 23
Inicio: 1666478007582  Final: 1666478007605  Diferencia: 23
Inicio: 1666478007605  Final: 1666478007628  Diferencia: 23
Inicio: 1666478007628  Final: 1666478007653  Diferencia: 25
Inicio: 1666478007653  Final: 1666478007676  Diferencia: 23
Inicio: 1666478007676  Final: 1666478007700  Diferencia: 24
Inicio: 1666478007700  Final: 1666478007722  Diferencia: 22
Inicio: 1666478007722  Final: 1666478007745  Diferencia: 23
Inicio: 1666478007745  Final: 1666478007767  Diferencia: 22
Inicio: 1666478007767  Final: 1666478007790  Diferencia: 23
Inicio: 1666478007790  Final: 1666478007815  Diferencia: 25
Inicio: 1666478007815  Final: 1666478007839  Diferencia: 24
Inicio: 1666478007839  Final: 1666478007863  Diferencia: 24
Inicio: 1666478007863  Final: 1666478007888  Diferencia: 25
Inicio: 1666478007888  Final: 1666478007913  Diferencia: 25
Inicio: 1666478007913  Final: 1666478007936  Diferencia: 23
Inicio: 1666478007936  Final: 1666478007961  Diferencia: 25
Inicio: 1666478007961  Final: 1666478007985  Diferencia: 24
Inicio: 1666478007985  Final: 1666478008010  Diferencia: 25
Inicio: 1666478008010  Final: 1666478008034  Diferencia: 24
Inicio: 1666478008034  Final: 1666478008061  Diferencia: 27
Inicio: 1666478008061  Final: 1666478008085  Diferencia: 24
Inicio: 1666478008085  Final: 1666478008110  Diferencia: 25
Inicio: 1666478008110  Final: 1666478008141  Diferencia: 31
Inicio: 1666478008141  Final: 1666478008167  Diferencia: 26
Inicio: 1666478008167  Final: 1666478008193  Diferencia: 26
Inicio: 1666478008193  Final: 1666478008220  Diferencia: 27
Inicio: 1666478008220  Final: 1666478008246  Diferencia: 26
Inicio: 1666478008246  Final: 1666478008272  Diferencia: 26
Inicio: 1666478008272  Final: 1666478008298  Diferencia: 26
